CODIGO_OPENDATA ,CODIGO DE IDENTIFICACION ESTACION,CODIGO DE IDENTIFICACION EQUIPO,NUMERO SERVICIO,CODIGO CONECTOR,TIPO CONECTOR,POTENCIA MAXIMA DE CARGA (W),Nº SERVICIOS EQUIPO,Nº DE CONECTORES EQUIPO,TIPO DE CARGA,COORDENADA_X,COORDENADA_Y,DIRECCION ,DISTRITO,BARRIO,CODIGO POSTAL,CODIGO ASIA,TIPO DE ACCESO,OPERADOR,TELF,TARIFA ,CONTROL DE ACCESO,RESTRICCION DE USO,ConnectorLockFailure,GroundFailure,HighTemperature,Mode3Error,NoError,OtherError,OverCurrentFailure,PowerMeterFailure,PowerSwitchFailure,ReaderFailure,ResetFailure,UnderVoltage,WeakSignal,Available,Occupied,Reserved,Unavailable,Faulted,Authorisation,StartTransaction,DataTranfer,DiagnosticsStatusNotification,HeartBeat,MeterValues,StatusNotification,StopTransaccion,CancelReservation,ChangeAvailability,ChangeConfiguration,ClearCache,DataTranfer,GetConfiguration,GetDiagnostics,GetLocalListVersion,RemoteStartTransaction,RemoteStopTransaction,ReserveNow,Reset,SendLocalList,UnlockConnector,UptateFirmware,Ide euip,
10101011,101,01,01,1,CHADEMO,50000,1,3,RAPIDA,41.393464,2.204479,"Ronda del Litoral Sortida 23 - Av. Litoral, 49",10 Sant Marti,El Poblenou,08005,,VIA PUBLICA,AJUNTAMENT BCN,932914150,GRATUIT,TARGETA VE,CARREGA RAPIDA (<11kW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011,1011
10101012,101,01,01,2,MENNEKES,43000,1,3,RAPIDA,41.393464,2.204479,"Ronda del Litoral Sortida 23 - Av. Litoral, 49",10 Sant Marti,El Poblenou,08005,,VIA PUBLICA,AJUNTAMENT BCN,932914150,GRATUIT,TARGETA VE,CARREGA RAPIDA (<11kW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011,0
10101013,101,01,01,3,COMBO 2,50000,1,3,RAPIDA,41.393464,2.204479,"Ronda del Litoral Sortida 23 - Av. Litoral, 49",10 Sant Marti,El Poblenou,08005,,VIA PUBLICA,AJUNTAMENT BCN,932914150,GRATUIT,TARGETA VE,CARREGA RAPIDA (<11kW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011,0
10201011,102,01,01,1,CHADEMO,50000,1,3,RAPIDA,41.401092,2.122802,"Via Augusta, 352",05 SarriA - Sant Gervasi,SarriA,08017,,VIA PUBLICA,AJUNTAMENT BCN,932914150,GRATUIT,TARGETA VE,CARREGA RAPIDA (<11kW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021,1021
10201012,102,01,01,2,MENNEKES,43000,1,3,RAPIDA,41.401092,2.122802,"Via Augusta, 352",05 SarriA - Sant Gervasi,SarriA,08017,,VIA PUBLICA,AJUNTAMENT BCN,932914150,GRATUIT,TARGETA VE,CARREGA RAPIDA (<11kW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021,0
10201013,102,01,01,3,COMBO 2,50000,1,3,RAPIDA,41.401092,2.122802,"Via Augusta, 352",05 SarriA - Sant Gervasi,SarriA,08017,,VIA PUBLICA,AJUNTAMENT BCN,932914150,GRATUIT,TARGETA VE,CARREGA RAPIDA (<11kW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021,0
10301011,103,01,01,1,CHADEMO,50000,1,3,RAPIDA,41.380009,2.139145,"Aparcament Viriat, 5-23 - Guitard, 1",03 Sants-Montjuic,Sants,08014,,VIA PUBLICA,AJUNTAMENT BCN,932914150,GRATUIT,TARGETA VE,CARREGA RAPIDA (<11kW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1031,1031
10301012,103,01,01,2,MENNEKES,43000,1,3,RAPIDA,41.380009,2.139145,"Aparcament Viriat, 5-23 - Guitard, 1",03 Sants-Montjuic,Sants,08014,,VIA PUBLICA,AJUNTAMENT BCN,932914150,GRATUIT,TARGETA VE,CARREGA RAPIDA (<11kW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1031,0
10301013,103,01,01,3,COMBO 2,50000,1,3,RAPIDA,41.380009,2.139145,"Aparcament Viriat, 5-23 - Guitard, 1",03 Sants-Montjuic,Sants,08014,,VIA PUBLICA,AJUNTAMENT BCN,932914150,GRATUIT,TARGETA VE,CARREGA RAPIDA (<11kW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1031,0
10302011,103,02,01,1,CHADEMO,50000,1,3,RAPIDA,41.380009,2.139145,"Aparcament Viriat, 5-23 - Guitard, 1",03 Sants-Montjuic,Sants,08014,,VIA PUBLICA,AJUNTAMENT BCN,932914150,GRATUIT,TARGETA VE,CARREGA RAPIDA (<11kW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032,
